"YTID","SOUL DEEP","THE BOX TOPS","22","8"
"YTID","SPACE ODDITY","DAVID BOWIE","13","5"
"YTID","STANDING IN THE ROAD","BLACKFOOT SUE","4","8"
"YTID","STAY WITH ME","BLUE MINK","12","5"
"YTID","SUGAR ME","LYNSEY DE PAUL","5","7"
"YTID","SUGAR","SUGAR","RCA","43"
"YTID","SUZANNE","BEWARE OF THE DEVIL","HORSE","16"
"YTID","TEARS IN THE WIND","CHICKEN SHACK","29","6"
"YTID","TEARS WON'T WASH AWAY THESE HEARTACHES","KEN DODD","22","11"
"YTID","THE GUITAR MAN","BREAD","40","1"
"YTID","THE HUNT","BARRY RYAN","34","2"
"YTID","THE JEAN GENIE","DAVID BOWIE","33","1"
"YTID","THE LOCO-MOTION {1972}","LITTLE EVA","2","27"
"YTID","THROW DOWN A LINE","CLIFF RICHARD AND HANK MARVIN","7","5"
"YTID","TOO BUSY THINKING ABOUT MY BABY","MARDI GRAS","19","9"
"YTID","TOO BUSY THINKING 'BOUT MY BABY","MARVIN GAYE","5","12"
"YTID","TOO YOUNG","DONNY OSMOND","5","3"
"YTID","VENTURA HIGHWAY","AMERICA","43","3"
"YTID","VIRGINIA PLAIN","ROXY MUSIC","4","7"
"YTID","VIVA BOBBY JOE","EQUALS","6","11"
"YTID","WALK IN THE NIGHT","JUNIOR WALKER AND THE ALL STARS","16","6"
"YTID","WET DREAM","MAX ROMEO","10","20"
"YTID","WHEN TWO WORLDS COLLIDE","JIM REEVES","17","16"
"YTID","WHO WAS IT","HURRICANE SMITH","23","5"
"YTID","WHY","DONNY OSMOND","3","5"
"YTID","WIG-WAM BAM","THE SWEET","6","4"
"YTID","YOU CAME","YOU SAW","PEARLS","BELL"
"YTID","YOU'LL ALWAYS BE A FRIEND","HOT CHOCOLATE","23","7"
"YTID","YOU'RE A LADY","PETER SKELLERN","18","2"
"YTID","YOU WEAR IT WELL","ROD STEWART","1","8"
